,,,,-DOUBS,,,
8657,25,25096,25240,Brey-et-Maison-du-Bois,brey et maison du bois,46.746588376068,6.2405872649573
8658,25,25097,25600,Brognard,brognard,47.529086530612,6.8685840816327
8659,25,25098,25440,Buffard,buffard,47.039004333333,5.8249492222222
8660,25,25099,25520,Bugny,bugny,47.001765087719,6.3645847368421
8661,25,25100,25560,Bulle,bulle,46.899190377358,6.2162181132075
8662,25,25101,25170,Burgille,burgille,47.262099517241,5.7793946896552
8663,25,25102,25470,Burnevillers,burnevillers,47.333865729167,7.0188483333333
8664,25,25103,25320,Busy,busy,47.168388571429,5.956473968254
8665,25,25104,25440,By,by,47.012809452055,5.8961867123288
8666,25,25105,25320,Byans-sur-Doubs,byans sur doubs,47.1123027,5.8485227
8667,25,25106,25290,Cademène,cademene,47.093775340909,6.0263984090909
8668,25,25107,25640,Cendrey,cendrey,47.402975813954,6.2449346511628
8669,25,25108,25120,Cernay-l'Église,cernay l eglise,47.24929776,6.83407272
8670,25,25109,25440,Cessey,cessey,47.11495752809,5.9243270786517
8671,25,25110,25300,Chaffois,chaffois,46.913768522727,6.2554398863636
8672,25,25111,25220,Chalèze,chaleze,47.262024776119,6.0911628358209
8673,25,25112,25220,Chalezeule,chalezeule,47.257881454545,6.0659176363636
8674,25,25113,25380,Chamesey,chamesey,47.237316373626,6.6334221978022
8675,25,25114,25190,Chamesol,chamesol,47.342665244755,6.8490332867133
8676,25,25115,25170,Champagney,champagney,47.254548909091,5.8943376363636
8677,25,25116,25360,Champlive,champlive,47.287587080292,6.2437072992701
8678,25,25117,25640,Champoux,champoux,47.34083875,6.1374601785714
8679,25,25119,25170,Champvans-les-Moulins,champvans les moulins,47.255916231884,5.9086163768116
8680,25,25120,25330,Chantrans,chantrans,47.049015724638,6.1702104347826
8681,25,25121,25240,Chapelle-des-Bois,chapelle des bois,46.618818466258,6.1046158895705
8682,25,25122,25270,Chapelle-d'Huin,chapelle d huin,46.936137480916,6.178912519084
8683,25,25124,25470,Charmauvillers,charmauvillers,47.232164716981,6.9156740566038
8684,25,25125,25380,Charmoille,charmoille,47.236419657534,6.6649973287671
8685,25,25126,25440,Charnay,charnay,47.128382771084,5.9490228915663
8686,25,25127,25140,Charquemont,charquemont,47.204604654378,6.8405266359447
8687,25,25129,25290,Chassagne-Saint-Denis,chassagne saint denis,47.085004112903,6.1101078225806
8688,25,25130,25840,Châteauvieux-les-Fossés,chateauvieux les fosses,47.055731666667,6.2012851388889
8689,25,25131,25240,Châtelblanc,chatelblanc,46.662511676647,6.1115540718563
8690,25,25132,25640,Châtillon-Guyotte,chatillon guyotte,47.329244915254,6.1682093220339
8691,25,25133,25870,Châtillon-le-Duc,chatillon le duc,47.306921911765,6.0038114705882
8692,25,25134,25440,Châtillon-sur-Lison,chatillon sur lison,47.0748725,5.9807829166667
8693,25,25136,25170,Chaucenne,chaucenne,47.287538026316,5.8959952631579
8694,25,25138,25190,Les Terres-de-Chaux,les terres de chaux,47.318647391304,6.7310851552795
8695,25,25139,25650,La Chaux,la chaux,47.018013902439,6.4158886178862
8696,25,25140,25340,Chaux-lès-Clerval,chaux les clerval,47.370954769231,6.5076953846154
8697,25,25141,25530,Chaux-lès-Passavant,chaux les passavant,47.237909923077,6.3484803846154
8698,25,25142,25240,Chaux-Neuve,chaux neuve,46.653888984772,6.1476586802031
8699,25,25143,25440,Chay,chay,47.034153285714,5.8637158571429
8700,25,25145,25430,Chazot,chazot,47.3295275,6.540750875
8701,25,25147,25320,Chemaudin et Vaux,chemaudin et vaux,47.22364,5.893205
8702,25,25147,25770,Chemaudin et Vaux,chemaudin et vaux,47.238131,5.889937
8703,25,25148,25500,La Chenalotte,la chenalotte,47.110786229508,6.6851190163934
8704,25,25149,25440,Chenecey-Buillon,chenecey buillon,47.13887826087,5.974390621118
8705,25,25150,25170,Chevigney-sur-l'Ognon,chevigney sur l ognon,47.29422122449,5.8483591836735
8706,25,25151,25530,Chevigney-lès-Vercel,chevigney les vercel,47.166584222222,6.3657136666667
8707,25,25152,25620,La Chevillotte,la chevillotte,47.219467424242,6.1564813636364
8708,25,25153,25870,Chevroz,chevroz,47.329336458333,5.9987466666667
8709,25,25154,25440,Chouzelot,chouzelot,47.121250540541,5.906392972973
8710,25,25155,25330,Cléron,cleron,47.079630619469,6.0729274778761
8711,25,25156,25340,Pays de Clerval,pays de clerval,47.399692352941,6.505902745098
8712,25,25157,25300,La Cluse-et-Mijoux,la cluse et mijoux,46.85733373494,6.3833226506024
8713,25,25159,25260,Colombier-Fontaine,colombier fontaine,47.447484545455,6.6929877922078
8714,25,25160,25500,Les Combes,les combes,47.045417512953,6.5321326943005
8715,25,25161,25390,Consolation-Maisonnettes,consolation maisonnettes,47.15240877551,6.6041232653061
8716,25,25162,25410,Corcelles-Ferrières,corcelles ferrieres,47.226086829268,5.8047674390244
8717,25,25163,25640,Corcelle-Mieslot,corcelle mieslot,47.359860147059,6.1851342647059
8718,25,25164,25410,Corcondray,corcondray,47.228119307692,5.8285050769231
8719,25,25166,25360,Côtebrune,cotebrune,47.252105576923,6.3138367307692
8720,25,25170,25420,Courcelles-lès-Montbéliard,courcelles les montbeliard,47.497720425532,6.7814417021277
8721,25,25171,25440,Courcelles,courcelles,47.101863333333,5.9642536842105
8722,25,25172,25170,Courchapon,courchapon,47.25874078125,5.7496759375
8723,25,25173,25380,Cour-Saint-Maurice,cour saint maurice,47.263633717949,6.7140280769231
8724,25,25174,25470,Courtefontaine,courtefontaine,47.321952616822,6.9134855140187
8725,25,25175,25530,Courtetain-et-Salans,courtetain et salans,47.255955257732,6.4284319587629
8726,25,25176,25560,Courvières,courvieres,46.8695228,6.10320656
8727,25,25177,25340,Crosey-le-Grand,crosey le grand,47.345859272727,6.5258605454545
8728,25,25178,25340,Crosey-le-Petit,crosey le petit,47.341857191011,6.4824869662921
8729,25,25179,25240,Le Crouzet,le crouzet,46.705919714286,6.13835
8730,25,25180,25270,Crouzet-Migette,crouzet migette,46.957220948276,6.0081800862069
8731,25,25181,25680,Cubrial,cubrial,47.500831294118,6.4003183529412
8732,25,25182,25680,Cubry,cubry,47.499205454545,6.4259528787879
8733,25,25183,25110,Cusance,cusance,47.323302183908,6.4359898850575
8734,25,25184,25680,Cuse-et-Adrisans,cuse et adrisans,47.481219756098,6.3882635772358
8735,25,25185,25440,Cussey-sur-Lison,cussey sur lison,47.061619791667,5.9673197916667
8736,25,25186,25870,Cussey-sur-l'Ognon,cussey sur l ognon,47.33108372093,5.9416031395349
8737,25,25187,25150,Dambelin,dambelin,47.374082406015,6.6729663157895
8738,25,25188,25600,Dambenois,dambenois,47.544428444444,6.8727731111111
8739,25,25189,25110,Dammartin-les-Templiers,dammartin les templiers,47.294134302326,6.2819102325581
8740,25,25190,25490,Dampierre-les-Bois,dampierre les bois,47.509072424242,6.9200057575758
8741,25,25191,25420,Dampierre-sur-le-Doubs,dampierre sur le doubs,47.462653392857,6.7351283928571
8742,25,25192,25190,Dampjoux,dampjoux,47.338873506494,6.7450466233766
8743,25,25193,25450,Damprichard,damprichard,47.238192575758,6.8752174242424
8744,25,25194,25310,Dannemarie,dannemarie,47.389833061224,6.8995495918367
8745,25,25195,25410,Dannemarie-sur-Crète,dannemarie sur crete,47.210145853659,5.8657118292683
8746,25,25196,25230,Dasle,dasle,47.481984487179,6.8981501282051
8747,25,25197,25960,Deluz,deluz,47.298087457627,6.1970569491525
8748,25,25198,25750,Désandans,desandans,47.53713483871,6.6732967741935
8749,25,25199,25330,Déservillers,deservillers,46.998629130435,6.0751072049689
8750,25,25200,25870,Devecey,devecey,47.323823092784,6.0154618556701
8751,25,25201,25300,Dommartin,dommartin,46.928,6.3125063888889
8752,25,25202,25560,Dompierre-les-Tilleuls,dompierre les tilleuls,46.88853,6.1627901369863
8753,25,25203,25510,Domprel,domprel,47.196384418605,6.4799910465116
8754,25,25204,25300,Doubs,doubs,46.933856525424,6.3617439830509
8755,25,25207,25550,Dung,dung,47.506929545455,6.7432365909091
8756,25,25208,25580,Durnes,durnes,47.107799896907,6.2217717525773
8757,25,25209,25440,Échay,echay,47.045042439024,5.9506753658537
8758,25,25210,25550,Échenans,echenans,47.52893137931,6.6922810344828
8759,25,25211,25580,Échevannes,echevannes,47.072530847458,6.2277689830508
8760,25,25212,25480,École-Valentin,ecole valentin,47.275624027778,5.9865633333333
8761,25,25213,25140,Les Écorces,les ecorces,47.206564074074,6.8001503703704
8762,25,25214,25150,Écot,ecot,47.423872735043,6.7311611111111
8763,25,25215,25640,L'Écouvotte,l ecouvotte,47.343673636364,6.2542221212121
8764,25,25216,25150,Écurcey,ecurcey,47.403913913043,6.8083170652174
8765,25,25217,25170,Émagny,emagny,47.30402,5.8660612781955
8766,25,25218,25530,Épenouse,epenouse,47.213002897196,6.397598317757
8767,25,25219,25800,Épenoy,epenoy,47.132635827338,6.3824460431655
8768,25,25220,25290,Épeugney,epeugney,47.1281202,6.0207386
8769,25,25221,25110,Esnans,esnans,47.332874642857,6.3247205357143
8770,25,25222,25580,Étalans,etalans,47.149571,6.269397
8771,25,25222,25620,Étalans,etalans,47.149571,6.269397
8772,25,25223,25330,Éternoz,eternoz,47.012956719577,6.0022993121693
8773,25,25224,25260,Étouvans,etouvans,47.454838589744,6.7197561538462
8774,25,25225,25170,Étrabonne,etrabonne,47.234119302326,5.7377113953488
8775,25,25226,25250,Étrappe,etrappe,47.46967921875,6.57930125
8776,25,25227,25800,Étray,etray,47.12922096,6.33134856
8777,25,25228,25460,Étupes,etupes,47.505537959184,6.8747942857143
8778,25,25229,25520,Évillers,evillers,46.996173902439,6.2219629268293
8779,25,25230,25400,Exincourt,exincourt,47.501693611111,6.8356158333333
8780,25,25231,25530,Eysson,eysson,47.205399876543,6.4269128395062
8781,25,25232,25250,Faimbe,faimbe,47.485085964912,6.6138031578947
8782,25,25233,25580,Fallerans,fallerans,47.1399530625,6.2915414375
8783,25,25234,25470,Ferrières-le-Lac,ferrieres le lac,47.267675090909,6.8886052727273
8784,25,25235,25410,Ferrières-les-Bois,ferrieres les bois,47.209345384615,5.7997823076923
8785,25,25236,25330,Fertans,fertans,47.055124776119,6.0674573880597
8786,25,25237,25490,Fesches-le-Châtel,fesches le chatel,47.521316315789,6.9042312280702
8787,25,25238,25470,Fessevillers,fessevillers,47.277803888889,6.9190456666667
8788,25,25239,25190,Feule,feule,47.348375909091,6.735796969697
8789,25,25240,25500,Les Fins,les fins,47.076088215962,6.6222780751174
8790,25,25241,25330,Flagey,flagey,47.045994622641,6.110553490566
8791,25,25242,25640,Flagey-Rigney,flagey rigney,47.415310877193,6.2185601754386
8792,25,25243,25390,Flangebouche,flangebouche,47.12096389313,6.4765617557252
8793,25,25244,25190,Fleurey,fleurey,47.298618666667,6.7818227333333
8794,25,25245,25660,Fontain,fontain,47.19185537037,6.0377389814815
8795,25,25246,25340,Fontaine-lès-Clerval,fontaine les clerval,47.418388867925,6.463231509434
8796,25,25247,25340,Fontenelle-Montby,fontenelle montby,47.446872135922,6.4097678640777
8797,25,25248,25210,Les Fontenelles,les fontenelles,47.191257413793,6.7519070689655
8798,25,25249,25110,Fontenotte,fontenotte,47.37509530303,6.3185518181818
8799,25,25250,25620,Foucherans,foucherans,47.150930142857,6.1493302857143
8800,25,25251,25110,Fourbanne,fourbanne,47.336691904762,6.3057880952381
8801,25,25252,25370,Fourcatier-et-Maison-Neuve,fourcatier et maison neuve,46.761751034483,6.3155765517241
8802,25,25253,25440,Fourg,fourg,47.097258933333,5.8050921333333
8803,25,25254,25300,Les Fourgs,les fourgs,46.840888442623,6.402226147541
8804,25,25255,25140,Fournet-Blancheroche,fournet blancheroche,47.169801681416,6.8345630973451
8805,25,25256,25140,Frambouhans,frambouhans,47.205557894737,6.7778532631579
8806,25,25257,25170,Franey,franey,47.258692261905,5.8146833333333
8807,25,25258,25770,Franois,franois,47.229828876405,5.9204431460674
8808,25,25259,25560,Frasne,frasne,46.8522779375,6.1475031875
8809,25,25261,25190,Froidevaux,froidevaux,47.300897846154,6.6929701538461
8810,25,25262,25390,Fuans,fuans,47.127694421769,6.5891980952381
8811,25,25263,25240,Gellin,gellin,46.727596891892,6.2402840540541
8812,25,25264,25250,Gémonval,gemonval,47.53419,6.5899240506329
8813,25,25265,25870,Geneuille,geneuille,47.320146571429,5.9731778095238
8814,25,25266,25250,Geney,geney,47.482875614035,6.5638785964912
8815,25,25267,25660,Gennes,gennes,47.243665066667,6.1274554666667
8816,25,25268,25510,Germéfontaine,germefontaine,47.226165066667,6.4869038666667
8817,25,25269,25640,Germondans,germondans,47.414992391304,6.1979319565217
8818,25,25270,25270,Gevresin,gevresin,46.965712666667,6.0463383333333
8819,25,25271,25650,Gilley,gilley,47.051901794872,6.4876917307692
8820,25,25273,25360,Glamondans,glamondans,47.267506082474,6.287781443299
8821,25,25274,25310,Glay,glay,47.402845890411,6.8992345205479
8822,25,25275,25190,Glère,glere,47.345206842105,6.9854259064328
8823,25,25276,25340,Gondenans-Montby,gondenans montby,47.44783483871,6.4597464516129
8824,25,25277,25680,Gondenans-les-Moulins,gondenans les moulins,47.4683075,6.3805515740741
8825,25,25278,25360,Gonsans,gonsans,47.227832396694,6.3020990909091
8826,25,25279,25680,Gouhelans,gouhelans,47.453839323308,6.3557562406015
8827,25,25280,25470,Goumois,goumois,47.266874693878,6.9389423469388
8828,25,25281,25150,Goux-lès-Dambelin,goux les dambelin,47.395242561983,6.6772076033058
8829,25,25282,25520,Goux-les-Usiers,goux les usiers,46.98028443038,6.2918006329114
8830,25,25283,25440,Goux-sous-Landet,goux sous landet,47.081785666667,5.932267
8831,25,25284,25200,Grand-Charmont,grand charmont,47.530399756098,6.8233543902439
8832,25,25285,25570,Grand'Combe-Châteleu,grand combe chateleu,47.013190377358,6.5582383773585
8833,25,25286,25210,Grand'Combe-des-Bois,grand combe des bois,47.127461549296,6.7721856338028
8834,25,25287,25320,Grandfontaine,grandfontaine,47.196703802817,5.904261971831
8835,25,25288,25390,Fournets-Luisans,fournets luisans,47.108011666667,6.5635258888889
8836,25,25289,25510,Grandfontaine-sur-Creuse,grandfontaine sur creuse,47.185308333333,6.4550904166667
8837,25,25290,25380,La Grange,la grange,47.282735555556,6.6711094444444
8838,25,25293,25300,Granges-Narboz,granges narboz,46.880832110092,6.305072293578
8839,25,25295,25160,Les Grangettes,les grangettes,46.832888461538,6.311975
8840,25,25296,25790,Les Gras,les gras,46.993874,6.5506993043478
8841,25,25297,25620,Le Gratteris,le gratteris,47.180035454545,6.1280648484848
8842,25,25298,25110,Grosbois,grosbois,47.349168979592,6.3049746938775
8843,25,25299,25110,Guillon-les-Bains,guillon les bains,47.316683114754,6.3961859016393
8844,25,25300,25580,Guyans-Durnes,guyans durnes,47.129845357143,6.2401876190476
8845,25,25301,25390,Guyans-Vennes,guyans vennes,47.16231472103,6.5947515879828
8846,25,25303,25650,Hauterive-la-Fresse,hauterive la fresse,46.965374719101,6.4541152808989
8847,25,25304,25310,Hérimoncourt,herimoncourt,47.435428392857,6.8841189285714
8848,25,25305,25620,L'Hôpital-du-Grosbois,l hopital du grosbois,47.181393606557,6.2123996721311
8849,25,25306,25340,L'Hôpital-Saint-Lieffroy,l hopital saint lieffroy,47.398453953488,6.4570234883721
8850,25,25307,25370,Les Hôpitaux-Neufs,les hopitaux neufs,46.783657910448,6.3867419402985
8851,25,25308,25370,Les Hôpitaux-Vieux,les hopitaux vieux,46.80399970297,6.3868540594059
8852,25,25309,25300,Houtaud,houtaud,46.915581470588,6.2959564705882
8853,25,25310,25680,Huanne-Montmartin,huanne montmartin,47.431417714286,6.3416153333333
8854,25,25311,25250,Hyémondans,hyemondans,47.386747478992,6.6409177310924
8855,25,25312,25110,Hyèvre-Magny,hyevre magny,47.361651555556,6.4286391111111
8856,25,25313,25110,Hyèvre-Paroisse,hyevre paroisse,47.373457578947,6.430522
8857,25,25314,25470,Indevillers,indevillers,47.31575787234,6.9673421985816
8858,25,25315,25250,L'Isle-sur-le-Doubs,l isle sur le doubs,47.4276221875,6.58828703125
8859,25,25316,25550,Issans,issans,47.526305641026,6.7329279487179
8860,25,25317,25170,Jallerange,jallerange,47.255324,5.7205047692308
8861,25,25318,25370,Jougne,jougne,46.751866902655,6.385482300885
8862,25,25320,25160,Labergement-Sainte-Marie,labergement sainte marie,46.775191217391,6.272170826087
8863,25,25321,25130,Villers-le-Lac,villers le lac,47.072362162162,6.6898042471043
8864,25,25322,25550,Laire,laire,47.5500084375,6.736878125
8865,25,25323,25820,Laissey,laissey,47.300245606061,6.2300806060606
8866,25,25324,25360,Lanans,lanans,47.294022962963,6.4474692592593
8867,25,25325,25530,Landresse,landresse,47.260108723404,6.4819246808511
8868,25,25326,25170,Lantenne-Vertière,lantenne vertiere,47.231532697368,5.7740896710526
8869,25,25327,25250,Lanthenans,lanthenans,47.390973684211,6.6268229824561
8870,25,25328,25720,Larnod,larnod,47.179441818182,5.9732897727273
8871,25,25329,25210,Laval-le-Prieuré,laval le prieure,47.180091910112,6.6235062921348
8872,25,25330,25440,Lavans-Quingey,lavans quingey,47.0881075,5.8988855555556
8873,25,25331,25580,Lavans-Vuillafans,lavans vuillafans,47.081645797101,6.258845942029
8874,25,25332,25170,Lavernay,lavernay,47.243183098592,5.8136653521127
8875,25,25333,25510,Laviron,laviron,47.253672301587,6.568300952381
8876,25,25334,25270,Levier,levier,46.978039395973,6.1328361409396
8877,25,25335,25190,Liebvillers,liebvillers,47.332018111111,6.7845436666667
8878,25,25336,25440,Liesle,liesle,47.059696578947,5.8186286842105
8879,25,25338,25330,Lizine,lizine,47.055544553571,5.9926989285714
8880,25,25339,25930,Lods,lods,47.052368815789,6.2608471052632
8881,25,25340,25440,Lombard,lombard,47.081681733333,5.8519153333333
8882,25,25341,25110,Lomont-sur-Crête,lomont sur crete,47.335769565217,6.4377876086956
8883,25,25342,25690,Longechaux,longechaux,47.164557068966,6.4378312068965
8884,25,25343,25690,Longemaison,longemaison,47.078924583333,6.4594011111111
8885,25,25344,25380,Longevelle-lès-Russey,longevelle les russey,47.2243275,6.6560719642857
8886,25,25345,25260,Longevelle-sur-Doubs,longevelle sur doubs,47.460350754717,6.6503058490566
8887,25,25346,25330,Longeville,longeville,47.032686792453,6.2292272641509
8888,25,25347,25650,La Longeville,la longeville,47.019419723502,6.4738264976958
8889,25,25348,25370,Longevilles-Mont-d'Or,longevilles mont d or,46.748335677419,6.3259958064516
8890,25,25349,25390,Loray,loray,47.159453017241,6.4991924137931
8891,25,25350,25260,Lougres,lougres,47.473700363636,6.6818272727273
8892,25,25351,25210,Le Luhier,le luhier,47.170134819277,6.6809431325301
8893,25,25354,25110,Luxiol,luxiol,47.376367352941,6.3447713235294
8894,25,25355,25360,Magny-Châtelard,magny chatelard,47.238597073171,6.3284628048781
8895,25,25356,25120,Maîche,maiche,47.237819353234,6.8031743283582
8896,25,25357,25650,Maisons-du-Bois-Lièvremont,maisons du bois lievremont,46.976992970297,6.4183959405941
8897,25,25359,25330,Malans,malans,47.041581603053,6.0320335877863
8898,25,25360,25620,Malbrans,malbrans,47.121557878788,6.0879852525253
8899,25,25361,25160,Malbuisson,malbuisson,46.80035987013,6.3114257142857
8900,25,25362,25160,Malpas,malpas,46.82379097561,6.2844241463415
8901,25,25364,25620,Mamirolle,mamirolle,47.198170909091,6.1635259090909
8902,25,25365,25250,Mancenans,mancenans,47.465214495413,6.5444363302752
8903,25,25366,25120,Mancenans-Lizerne,mancenans lizerne,47.257466752137,6.7734252991453
8904,25,25367,25350,Mandeure,mandeure,47.430231879699,6.8113752631579
8905,25,25368,25640,Marchaux-Chaudefontaine,marchaux chaudefontaine,47.332284802632,6.1401210526316
8906,25,25369,25250,Marvelise,marvelise,47.521062173913,6.5969658695652
8907,25,25370,25700,Mathay,mathay,47.439839923077,6.7696611538462
8908,25,25371,25170,Mazerolles-le-Salin,mazerolles le salin,47.24401443299,5.8659356701031
8909,25,25372,25250,Médière,mediere,47.464065344828,6.597365
8910,25,25373,25210,Le Mémont,le memont,47.161739795918,6.6915620408163
8911,25,25374,25410,Mercey-le-Grand,mercey le grand,47.211370940171,5.7570366666667
8912,25,25375,25660,Mérey-sous-Montrond,merey sous montrond,47.168493365385,6.0679902884615
8913,25,25376,25870,Mérey-Vieilley,merey vieilley,47.333528952381,6.0622013333333
8914,25,25377,25680,Mésandans,mesandans,47.430754069767,6.376593372093
8915,25,25378,25310,Meslières,meslieres,47.417492894737,6.8945305263158
8916,25,25379,25440,Mesmay,mesmay,47.0601292,5.8484114
8917,25,25380,25370,Métabief,metabief,46.767995543478,6.3510189130435
8918,25,25381,25480,Miserey-Salines,miserey salines,47.288209191919,5.9759664646465
8919,25,25382,25870,Moncey,moncey,47.36100255102,6.1272701020408
8920,25,25383,25170,Moncley,moncley,47.305813508772,5.897061754386
8921,25,25384,25680,Mondon,mondon,47.449482985075,6.3121473134328
8922,25,25385,25680,Montagney-Servigney,montagney servigney,47.46805957265,6.3062171794872
8923,25,25386,25190,Montancy,montancy,47.354191217391,7.0306366956522
8924,25,25387,25190,Montandon,montandon,47.2990448,6.8349958666667
8925,25,25388,25200,Montbéliard,montbeliard,47.519513360656,6.7906600819672
8926,25,25389,25210,Montbéliardot,montbeliardot,47.179644927536,6.6665826086957
8927,25,25390,25650,Montbenoît,montbenoit,46.986613608247,6.4615567010309
8928,25,25391,25210,Mont-de-Laval,mont de laval,47.161470163934,6.6366308196721
