id,department_code,insee_code,zip_code,-AUBE,slug,gps_lat,gps_lng
3202,10,10002,10200,Ailleville,ailleville,48.252150666667,4.6896877777778
3203,10,10003,10160,Aix-Villemaur-Pâlis,aix villemaur palis,48.288167,3.70814
3204,10,10003,10190,Aix-Villemaur-Pâlis,aix villemaur palis,48.288167,3.70814
3205,10,10004,10700,Allibaudières,allibaudieres,48.584587951807,4.1216589156626
3206,10,10005,10140,Amance,amance,48.296584261364,4.46831625
3207,10,10006,10700,Arcis-sur-Aube,arcis sur aube,48.539047068966,4.1441589655172
3208,10,10007,10200,Arconville,arconville,48.156628317757,4.7254859813084
3209,10,10008,10140,Argançon,argancon,48.250586860465,4.5920906976744
3210,10,10009,10340,Arrelles,arrelles,48.045427631579,4.2745530263158
3211,10,10010,10330,Arrembécourt,arrembecourt,48.545975862069,4.6063368965517
3212,10,10011,10200,Arrentières,arrentieres,48.266200833333,4.7418740277778
3213,10,10012,10200,Arsonval,arsonval,48.278491764706,4.6479472941176
3214,10,10013,10320,Assenay,assenay,48.179527818182,4.0621187272727
3215,10,10014,10220,Assencières,assencieres,48.357251290323,4.2007016129032
3216,10,10015,10150,Aubeterre,aubeterre,48.425874098361,4.1205904918033
3217,10,10017,10240,Aulnay,aulnay,48.474488804348,4.4196590217391
3218,10,10018,10130,Auxon,auxon,48.087268669725,3.9287949541284
3219,10,10019,10220,Val-d'Auzon,val d auzon,48.398852617801,4.3659358115183
3220,10,10020,10400,Avant-lès-Marcilly,avant les marcilly,48.431516582278,3.5621964556962
3221,10,10021,10240,Avant-lès-Ramerupt,avant les ramerupt,48.445850413223,4.2659978512397
3222,10,10022,10340,Avirey-Lingey,avirey lingey,48.028978417266,4.2879020863309
3223,10,10023,10290,Avon-la-Pèze,avon la peze,48.386193333333,3.6482648148148
3224,10,10024,10130,Avreuil,avreuil,48.052953692308,3.9972843076923
3225,10,10025,10340,Bagneux-la-Fosse,bagneux la fosse,48.001048445946,4.296110472973
3226,10,10026,10330,Bailly-le-Franc,bailly le franc,48.523243780488,4.6602758536585
3227,10,10027,10330,Balignicourt,balignicourt,48.527037727273,4.4551324242424
3228,10,10028,10210,Balnot-la-Grange,balnot la grange,47.990696959064,4.1942271345029
3229,10,10029,10110,Balnot-sur-Laignes,balnot sur laignes,48.038462826087,4.3546754347826
3230,10,10030,10600,Barberey-Saint-Sulpice,barberey saint sulpice,48.335596888889,4.0328955555556
3231,10,10031,10400,Barbuise,barbuise,48.548758859649,3.5710422807018
3232,10,10032,10200,Baroville,baroville,48.182136985294,4.7496757352941
3233,10,10033,10200,Bar-sur-Aube,bar sur aube,48.232359631902,4.7149740490797
3234,10,10034,10110,Bar-sur-Seine,bar sur seine,48.106611196172,4.3806599521531
3235,10,10035,10310,Bayel,bayel,48.192898693694,4.7938096396396
3236,10,10037,10190,Bercenay-en-Othe,bercenay en othe,48.193757480315,3.8972983464567
3237,10,10038,10290,Bercenay-le-Hayer,bercenay le hayer,48.329735,3.5944759090909
3238,10,10039,10200,Bergères,bergeres,48.183192,4.6720266666667
3239,10,10040,10130,Bernon,bernon,47.983932887324,3.990998943662
3240,10,10041,10110,Bertignolles,bertignolles,48.13157375,4.51213875
3241,10,10042,10160,Bérulle,berulle,48.1717532,3.6724225333333
3242,10,10043,10170,Bessy,bessy,48.547877419355,4.0245862903226
3243,10,10044,10500,Bétignicourt,betignicourt,48.447477457627,4.4549428813559
3244,10,10045,10140,Beurey,beurey,48.17817048,4.46982088
3245,10,10047,10500,Blignicourt,blignicourt,48.454457894737,4.5411249122807
3246,10,10048,10200,Bligny,bligny,48.178349382716,4.6093780246914
3247,10,10049,10800,Les Bordes-Aumont,les bordes aumont,48.188605675676,4.1174518918919
3248,10,10050,10140,Bossancourt,bossancourt,48.283419047619,4.6113829761905
3249,10,10051,10320,Bouilly,bouilly,48.182301176471,3.990047745098
3250,10,10052,10380,Boulages,boulages,48.581984111111,3.91354
3251,10,10054,10290,Bourdenay,bourdenay,48.3589844,3.5904444
3252,10,10055,10110,Bourguignons,bourguignons,48.144097666667,4.3623280666667
3253,10,10057,10400,Bouy-sur-Orvin,bouy sur orvin,48.417383717949,3.4936633333333
3254,10,10058,10340,Bragelogne-Beauvoir,bragelogne beauvoir,47.969882171053,4.2689001315789
3255,10,10059,10500,Braux,braux,48.478546407767,4.4541259223301
3256,10,10060,10450,Bréviandes,breviandes,48.255553421053,4.1072155263158
3257,10,10061,10220,Brévonnes,brevonnes,48.348409385475,4.4105924581006
3258,10,10062,10140,Briel-sur-Barse,briel sur barse,48.214835070423,4.3561414788732
3259,10,10064,10500,Brienne-le-Château,brienne le chateau,48.394338130081,4.5256802439024
3260,10,10065,10240,Brillecourt,brillecourt,48.472417901235,4.3757351851852
3261,10,10066,10190,Bucey-en-Othe,bucey en othe,48.251876018519,3.8744414814815
3262,10,10067,10800,Buchères,bucheres,48.236389069767,4.1196639534884
3263,10,10068,10110,Buxeuil,buxeuil,48.054000561798,4.4051665168539
3264,10,10069,10110,Buxières-sur-Arce,buxieres sur arce,48.1324404,4.4587476
3265,10,10070,10110,Celles-sur-Ource,celles sur ource,48.075362090909,4.4219867272727
3266,10,10071,10110,Chacenay,chacenay,48.107553846154,4.5349336538462
3267,10,10072,10500,La Chaise,la chaise,48.353611653226,4.6674433467742
