,,,,-HAUTE-SAONE,,,
28194,70,70372,70500,Montureux-lès-Baulay,montureux les baulay,47.819195075758,5.9815159090909
28195,70,70373,70120,La Roche-Morey,la roche morey,47.693041554404,5.7536546632124
28196,70,70374,70140,Motey-Besuche,motey besuche,47.302541287879,5.6662678787879
28197,70,70375,70130,Motey-sur-Saône,motey sur saone,47.5227368,5.7438956
28198,70,70376,70100,Nantilly,nantilly,47.460729173554,5.5339223966942
28199,70,70378,70000,Navenne,navenne,47.601876470588,6.1642319607843
28200,70,70380,70160,Neurey-en-Vaux,neurey en vaux,47.738191078431,6.1984387254902
28201,70,70381,70000,Neurey-lès-la-Demie,neurey les la demie,47.564664020619,6.1961846391753
28202,70,70383,70190,Neuvelle-lès-Cromary,neuvelle les cromary,47.405311888889,6.0702416666667
28203,70,70384,70130,Neuvelle-lès-la-Charité,neuvelle les la charite,47.532766153846,5.9559057948718
28204,70,70385,70200,La Neuvelle-lès-Lure,la neuvelle les lure,47.714364880952,6.5512007142857
28205,70,70386,70360,La Neuvelle-lès-Scey,la neuvelle les scey,47.700380092593,5.9438446296296
28206,70,70387,70130,Noidans-le-Ferroux,noidans le ferroux,47.566826111111,5.9499016666667
28207,70,70388,70000,Noidans-lès-Vesoul,noidans les vesoul,47.613956046512,6.1207162790698
28208,70,70389,70100,Noiron,noiron,47.384550714286,5.6257070634921
28209,70,70390,70000,Noroy-le-Bourg,noroy le bourg,47.60400512,6.29612524
28210,70,70392,70120,Oigney,oigney,47.753499294118,5.8539152941176
28211,70,70393,70700,Oiselay-et-Grachaux,oiselay et grachaux,47.42874445122,5.9257329268293
28212,70,70394,70100,Onay,onay,47.391907318841,5.6861765217391
28213,70,70395,70110,Oppenans,oppenans,47.587089473684,6.3836863157895
28214,70,70396,70110,Oricourt,oricourt,47.598604625,6.393759875
28215,70,70397,70230,Ormenans,ormenans,47.457288627451,6.216112745098
28216,70,70398,70300,Ormoiche,ormoiche,47.812455157895,6.3034217894737
28217,70,70399,70500,Ormoy,ormoy,47.881967091837,5.987408877551
28218,70,70400,70500,Ouge,ouge,47.799828866667,5.7033059333333
28219,70,70401,70360,Ovanches,ovanches,47.629926533333,5.9565046666667
28220,70,70402,70600,Oyrières,oyrieres,47.531139186047,5.576903255814
28221,70,70403,70200,Palante,palante,47.664879746835,6.5814151898734
28222,70,70404,70210,Passavant-la-Rochère,passavant la rochere,47.976021104294,6.05278
28223,70,70405,70190,Pennesières,pennesieres,47.495901090909,6.0989281818182
28224,70,70406,70600,Percey-le-Grand,percey le grand,47.617483777778,5.394552
28225,70,70407,70190,Perrouse,perrouse,47.365507011494,6.0473970114943
28226,70,70408,70140,Pesmes,pesmes,47.29118390681,5.5682963799283
28227,70,70409,70600,Pierrecourt,pierrecourt,47.639128018868,5.5889304716981
28228,70,70410,70150,Pin,pin,47.339811842105,5.8636801315789
28229,70,70411,70800,La Pisseure,la pisseure,47.864737012987,6.2310812987013
28230,70,70412,70800,Plainemont,plainemont,47.846818404255,6.2174426595745
28231,70,70413,70290,Plancher-Bas,plancher bas,47.722019867257,6.7359069911504
28232,70,70414,70290,Plancher-les-Mines,plancher les mines,47.789115892857,6.776491547619
28233,70,70415,70210,Polaincourt-et-Clairefontaine,polaincourt et clairefontaine,47.874286060606,6.0676546060606
28234,70,70416,70240,Pomoy,pomoy,47.658086206897,6.3402378448276
28235,70,70417,70360,Pontcey,pontcey,47.627843292683,6.0357317073171
28236,70,70418,70130,La Romaine,la romaine,47.533218376963,5.8965816230367
28237,70,70419,70210,Pont-du-Bois,pont du bois,47.977469875,6.125182375
28238,70,70420,70110,Pont-sur-l'Ognon,pont sur l ognon,47.521580492958,6.3925758450704
28239,70,70421,70170,Port-sur-Saône,port sur saone,47.693011194969,6.034541572327
28240,70,70422,70100,Poyans,poyans,47.44601675,5.476082875
28241,70,70423,70120,Preigney,preigney,47.762973550725,5.7760278985507
28242,70,70425,70310,La Proiselière-et-Langle,la proiseliere et langle,47.813923785714,6.4931699285714
28243,70,70426,70170,Provenchère,provenchere,47.72259,6.1219373611111
28244,70,70427,70160,Purgerot,purgerot,47.749114702703,5.9935206486486
28245,70,70428,70000,Pusey,pusey,47.652670789474,6.1214633333333
28246,70,70429,70000,Pusy-et-Épenoux,pusy et epenoux,47.66834553719,6.15073
28247,70,70430,70120,La Quarte,la quarte,47.774129375,5.701394375
28248,70,70431,70190,Quenoche,quenoche,47.467363452381,6.1044029761905
28249,70,70432,70200,Quers,quers,47.72626877551,6.434965170068
28250,70,70433,70000,Quincey,quincey,47.594542042254,6.1974278169014
28251,70,70435,70280,Raddon-et-Chapendu,raddon et chapendu,47.852588095238,6.4572142857143
28252,70,70436,70500,Raincourt,raincourt,47.860636190476,5.8870595238095
28253,70,70437,70500,Ranzevelle,ranzevelle,47.9073225,5.9824935416667
28254,70,70438,70130,Ray-sur-Saône,ray sur saone,47.591986218487,5.8110936134454
28255,70,70439,70000,Raze,raze,47.582179756098,5.9979447560976
28256,70,70440,70130,Recologne,recologne,47.582051129032,5.7766782258064
28257,70,70441,70190,Recologne-lès-Rioz,recologne les rioz,47.468983096774,5.9892303870968
28258,70,70442,70120,Renaucourt,renaucourt,47.641918762887,5.7646107216495
28259,70,70443,70140,La Grande-Résie,la grande resie,47.336681282051,5.5617351282051
28260,70,70444,70140,La Résie-Saint-Martin,la resie saint martin,47.310754576271,5.6110483050847
28261,70,70445,70200,Rignovelle,rignovelle,47.76597375,6.4763473214286
28262,70,70446,70100,Rigny,rigny,47.476725729167,5.634903125
28263,70,70447,70190,Rioz,rioz,47.439638232558,6.0786097674419
28264,70,70448,70180,Roche-et-Raucourt,roche et raucourt,47.626144344828,5.7109008275862
28265,70,70449,70230,Roche-sur-Linotte-et-Sorans-les-Cordiers,roche sur linotte et sorans les cordiers,47.47745,6.1964501298701
28266,70,70450,70120,La Rochelle,la rochelle,47.749409714286,5.7300577142857
28267,70,70451,70250,Ronchamp,ronchamp,47.710327195122,6.6313230487805
28268,70,70452,70000,Rosey,rosey,47.554897926829,6.0180390243902
28269,70,70453,70310,La Rosière,la rosiere,47.906669285714,6.6154357142857
28270,70,70454,70500,Rosières-sur-Mance,rosieres sur mance,47.834335632184,5.8053193103448
28271,70,70455,70200,Roye,roye,47.674854181818,6.5431049090909
28272,70,70456,70190,Ruhans,ruhans,47.457080943396,6.1365
28273,70,70457,70360,Rupt-sur-Saône,rupt sur saone,47.651621879195,5.9281459731544
28274,70,70459,70270,Saint-Barthélemy,saint barthelemy,47.741272571429,6.5966332857143
28275,70,70460,70280,Saint-Bresson,saint bresson,47.873423664596,6.5136041614907
28276,70,70461,70100,Saint-Broing,saint broing,47.453555098039,5.6865947712418
28277,70,70462,70110,Saint-Ferjeux,saint ferjeux,47.545407846154,6.5046212307692
28278,70,70463,70130,Saint-Gand,saint gand,47.507446043165,5.8267402158273
28279,70,70464,70200,Saint-Germain,saint germain,47.721650280899,6.5169453370787
28280,70,70466,70100,Saint-Loup-Nantouard,saint loup nantouard,47.428707522936,5.7297914678899
28281,70,70467,70800,Saint-Loup-sur-Semouse,saint loup sur semouse,47.886137478632,6.2649635042735
28282,70,70468,70500,Saint-Marcel,saint marcel,47.826157070707,5.8161592929293
28283,70,70469,70310,Sainte-Marie-en-Chanois,sainte marie en chanois,47.838578220339,6.5217479661017
28284,70,70470,70300,Sainte-Marie-en-Chaux,sainte marie en chaux,47.79591893617,6.3003836170213
28285,70,70471,70700,Sainte-Reine,sainte reine,47.501083538462,5.7779093846154
28286,70,70472,70160,Saint-Remy,saint remy,47.839488962963,6.1096616296296
28287,70,70473,70300,Saint-Sauveur,saint sauveur,47.794703695652,6.3948161594203
28288,70,70474,70110,Saint-Sulpice,saint sulpice,47.570129736842,6.4470155263158
28289,70,70475,70300,Saint-Valbert,saint valbert,47.858543424658,6.3958308219178
28290,70,70476,70210,Saponcourt,saponcourt,47.871866086957,6.0176795652174
28291,70,70477,70400,Saulnot,saulnot,47.566041255605,6.6307473991031
28292,70,70478,70240,Saulx,saulx,47.69623869281,6.275702875817
28293,70,70479,70100,Sauvigney-lès-Gray,sauvigney les gray,47.452850869565,5.7357577536232
28294,70,70480,70140,Sauvigney-lès-Pesmes,sauvigney les pesmes,47.305033222222,5.574356
28295,70,70481,70130,Savoyeux,savoyeux,47.548950813953,5.7363512790698
28296,70,70482,70360,Scey-sur-Saône-et-Saint-Albin,scey sur saone et saint albin,47.679699590444,5.9557094880546
28297,70,70483,70170,Scye,scye,47.657290361446,6.0584603614458
28298,70,70484,70400,Secenans,secenans,47.549447682927,6.5697090243902
28299,70,70485,70210,Selles,selles,47.972156190476,6.0968269642857
28300,70,70486,70120,Semmadon,semmadon,47.74226013245,5.8759579470199
28301,70,70487,70110,Senargent-Mignafans,senargent mignafans,47.568660844444,6.5293919111111
28302,70,70488,70160,Senoncourt,senoncourt,47.834048,6.0613447777778
28303,70,70489,70440,Servance-Miellin,servance miellin,47.825482157773,6.6952584686775
28304,70,70490,70240,Servigney,servigney,47.7278175,6.2956525
28305,70,70491,70130,Seveux,seveux,47.534824651163,5.7666530232558
28306,70,70492,70130,Soing-Cubry-Charentenay,soing cubry charentenay,47.586515602094,5.8789340314136
28307,70,70493,70190,Sorans-lès-Breurey,sorans les breurey,47.388343966942,6.0592252892562
28308,70,70494,70150,Sornay,sornay,47.2792701,5.6946188
28309,70,70496,70500,Tartécourt,tartecourt,47.83965890625,5.97538359375
28310,70,70497,70400,Tavey,tavey,47.562551694915,6.7413428813559
28311,70,70498,70270,Ternuay-Melay-et-Saint-Hilaire,ternuay melay et saint hilaire,47.80074392638,6.6271715030675
28312,70,70499,70120,Theuley,theuley,47.621294141414,5.8155396969697
28313,70,70500,70230,Thieffrans,thieffrans,47.506020882353,6.3074528431373
28314,70,70501,70230,Thiénans,thienans,47.472425894737,6.2782555789474
28315,70,70502,70120,Tincey-et-Pontrebeau,tincey et pontrebeau,47.603765137615,5.7881800917431
28316,70,70503,70190,Traitiéfontaine,traitiefontaine,47.421865740741,6.0957068518519
28317,70,70504,70360,Traves,traves,47.608108345865,5.9675665413534
28318,70,70505,70100,Le Tremblois,le tremblois,47.380213012048,5.5856675903614
28319,70,70506,70400,Trémoins,tremoins,47.566388392857,6.7052048214286
28320,70,70507,70190,Trésilley,tresilley,47.4500675,6.0270726388889
28321,70,70509,70150,Tromarey,tromarey,47.338620961538,5.7197926923077
28322,70,70510,70140,Vadans,vadans,47.349467448276,5.5725206896552
28323,70,70511,70180,Vaite,vaite,47.586942659574,5.7204842553191
28324,70,70512,70320,La Vaivre,la vaivre,47.914190701754,6.3673452631579
28325,70,70513,70000,Vaivre-et-Montoille,vaivre et montoille,47.637427257143,6.1052424
28326,70,70514,70140,Valay,valay,47.333370481928,5.6328601807229
28327,70,70515,70200,Le Val-de-Gouhenans,le val de gouhenans,47.622270506329,6.4844867088608
28328,70,70516,70000,Vallerois-le-Bois,vallerois le bois,47.552494915254,6.2911886440678
28329,70,70517,70000,Vallerois-Lorioz,vallerois lorioz,47.561681018518,6.1535544444444
28330,70,70518,70160,Le Val-Saint-Éloi,le val saint eloi,47.746176344086,6.1788033333333
28331,70,70519,70190,Vandelans,vandelans,47.395759036145,6.1615672289157
28332,70,70520,70130,Vanne,vanne,47.599783095238,5.8518025
28333,70,70521,70700,Vantoux-et-Longevelle,vantoux et longevelle,47.446507849462,5.8367629032258
28334,70,70522,70240,Varogne,varogne,47.717947931035,6.2112731896552
28335,70,70523,70600,Vars,vars,47.535976086957,5.5158138043478
28336,70,70524,70170,Vauchoux,vauchoux,47.654565,6.0347896341463
28337,70,70525,70120,Vauconcourt-Nervezain,vauconcourt nervezain,47.660585203252,5.8305915447154
28338,70,70526,70210,Vauvillers,vauvillers,47.925736237624,6.1070692079208
28339,70,70527,70700,Vaux-le-Moncelot,vaux le moncelot,47.479674453125,5.905662734375
28340,70,70528,70100,Velesmes-Échevanne,velesmes echevanne,47.421421724138,5.692591954023
28341,70,70529,70100,Velet,velet,47.425928351648,5.5740064835165
28342,70,70530,70110,Vellechevreux-et-Courbenans,vellechevreux et courbenans,47.538016923077,6.5496639053254
28343,70,70531,70700,Velleclaire,velleclaire,47.424737653061,5.8740854081633
28344,70,70532,70000,Vellefaux,vellefaux,47.552665658915,6.1386603100775
28345,70,70533,70700,Vellefrey-et-Vellefrange,vellefrey et vellefrange,47.436395179856,5.816841942446
28346,70,70534,70240,Vellefrie,vellefrie,47.703958285714,6.2246601904762
28347,70,70535,70000,Velleguindry-et-Levrecey,velleguindry et levrecey,47.556196329114,6.0891663291139
28348,70,70536,70000,Velle-le-Châtel,velle le chatel,47.595856760563,6.0521816197183
28349,70,70537,70240,Velleminfroy,velleminfroy,47.659383971631,6.3219935460993
28350,70,70538,70700,Vellemoz,vellemoz,47.474072597403,5.7861725974026
28351,70,70539,70130,Vellexon-Queutrey-et-Vaudey,vellexon queutrey et vaudey,47.553467581699,5.8087388888889
28352,70,70540,70700,Velloreille-lès-Choye,velloreille les choye,47.387799,5.71623225
28353,70,70541,70300,Velorcey,velorcey,47.783011413043,6.2536607608696
28354,70,70542,70100,Venère,venere,47.360570847458,5.6754883050847
28355,70,70544,70200,La Vergenne,la vergenne,47.613743090909,6.5206732727273
28356,70,70545,70500,Venisey,venisey,47.836645238095,5.9990564285714
28357,70,70546,70180,Vereux,vereux,47.523755119048,5.6351623809524
28358,70,70547,70400,Verlans,verlans,47.568919761905,6.7202264285714
28359,70,70548,70500,Vernois-sur-Mance,vernois sur mance,47.839819368421,5.7775498947368
28360,70,70549,70130,La Vernotte,la vernotte,47.512067432432,5.8725136486486
28361,70,70550,70000,Vesoul,vesoul,47.63361072,6.15093024
28362,70,70552,70110,Villafans,villafans,47.577412,6.4790297575758
28363,70,70553,70110,Villargent,villargent,47.541021355932,6.4840288135593
28364,70,70554,70500,Villars-le-Pautel,villars le pautel,47.896482982456,5.9184592105263
28365,70,70555,70160,La Villedieu-en-Fontenette,la villedieu en fontenette,47.773388290598,6.2034516239316
28366,70,70557,70700,Villefrancon,villefrancon,47.415371681416,5.744233539823
28367,70,70558,70240,La Villeneuve-Bellenoye-et-la-Maize,la villeneuve bellenoye et la maize,47.709235416667,6.2400406944444
28368,70,70559,70000,Villeparois,villeparois,47.662318571429,6.1807354545454
28369,70,70560,70190,Villers-Bouton,villers bouton,47.447771938776,5.9740043877551
28370,70,70561,70110,Villersexel,villersexel,47.558126111111,6.4324822222222
28371,70,70562,70110,Villers-la-Ville,villers la ville,47.550858934426,6.4673948360656
28372,70,70563,70000,Villers-le-Sec,villers le sec,47.588158103448,6.2336257758621
28373,70,70564,70300,Villers-lès-Luxeuil,villers les luxeuil,47.771083444444,6.2851035
28374,70,70565,70190,Villers-Pater,villers pater,47.478551594203,6.1740530434783
28375,70,70566,70170,Villers-sur-Port,villers sur port,47.714528712871,6.0805997029703
28376,70,70567,70400,Villers-sur-Saulnot,villers sur saulnot,47.549247439024,6.64801
28377,70,70568,70120,Villers-Vaudey,villers vaudey,47.672242073171,5.7600490243902
28378,70,70569,70240,Vilory,vilory,47.729033265306,6.2260993877551
28379,70,70571,70300,Visoncourt,visoncourt,47.7532545,6.305528125
28380,70,70572,70500,Vitrey-sur-Mance,vitrey sur mance,47.811928372093,5.7568948255814
28381,70,70573,70310,La Voivre,la voivre,47.821615391304,6.5578674347826
28382,70,70574,70180,Volon,volon,47.622429363636,5.736066
28383,70,70575,70190,Voray-sur-l'Ognon,voray sur l ognon,47.350694634146,6.0173476829268
28384,70,70576,70500,Vougécourt,vougecourt,47.942324380952,5.995192952381
28385,70,70577,70200,Vouhenans,vouhenans,47.642249462366,6.4993525268817
28386,70,70578,70150,Vregille,vregille,47.328510430108,5.8880841935484
28387,70,70579,70400,Vyans-le-Val,vyans le val,47.5509122,6.7599026
28388,70,70580,70130,Vy-le-Ferroux,vy le ferroux,47.587510533333,5.9671282666667
28389,70,70581,70200,Vy-lès-Lure,vy les lure,47.649077919075,6.4402823699422
28390,70,70582,70120,Vy-lès-Rupt,vy les rupt,47.641203604651,5.8990296511628
28391,70,70583,70230,Vy-lès-Filain,vy les filain,47.504872748092,6.1968635877863
