,,,,-YONNE,,,
34564,89,89002,89800,Aigremont,aigremont,47.716963636364,3.8846447272727
34565,89,89003,89110,Montholon,montholon,47.8542441,3.3170213
34566,89,89003,89710,Montholon,montholon,47.9229771,3.3361697
34567,89,89004,89390,Aisy-sur-Armançon,aisy sur armancon,47.652134134078,4.2226369273743
34568,89,89005,89160,Ancy-le-Franc,ancy le franc,47.775363286713,4.1693916083916
34569,89,89006,89160,Ancy-le-Libre,ancy le libre,47.80662128,4.1453852
34570,89,89007,89480,Andryes,andryes,47.534246235294,3.4612072941177
34571,89,89008,89440,Angely,angely,47.561190155039,4.0159782945736
34572,89,89009,89200,Annay-la-Côte,annay la cote,47.554249158879,3.8712802803738
34573,89,89010,89310,Annay-sur-Serein,annay sur serein,47.732981726619,3.9613364028777
34574,89,89011,89200,Annéot,anneot,47.517452608696,3.8728132608696
34575,89,89012,89440,Annoux,annoux,47.629018596491,4.0506283333333
34576,89,89013,89380,Appoigny,appoigny,47.87401858209,3.5296241791045
34577,89,89014,89320,Arces-Dilo,arces dilo,48.100952867647,3.5841731617647
34578,89,89015,89270,Arcy-sur-Cure,arcy sur cure,47.592094764706,3.7598238823529
34579,89,89016,89160,Argentenay,argentenay,47.821652173913,4.1121044927536
34580,89,89017,89160,Argenteuil-sur-Armançon,argenteuil sur armancon,47.73867547619,4.0874107142857
34581,89,89018,89500,Armeau,armeau,48.0485068,3.3344511
34582,89,89019,89740,Arthonnay,arthonnay,47.931984078947,4.2341972368421
34583,89,89020,89660,Asnières-sous-Bois,asnieres sous bois,47.478619680851,3.6429396808511
34584,89,89021,89450,Asquins,asquins,47.488150820896,3.7570693283582
34585,89,89022,89440,Athie,athie,47.544179056604,3.9979083018868
34586,89,89023,89290,Augy,augy,47.770523684211,3.6237098245614
34587,89,89024,89000,Auxerre,auxerre,47.7973595,3.5659504
34588,89,89024,89290,Auxerre,auxerre,47.7945696,3.6548071
34589,89,89025,89200,Avallon,avallon,47.480677116564,3.9172249693251
34590,89,89027,89190,Bagneaux,bagneaux,48.247038105263,3.5894133684211
34591,89,89028,89430,Baon,baon,47.862244393939,4.1417278787879
34592,89,89029,89400,Bassou,bassou,47.924595454545,3.5092640909091
34593,89,89030,89460,Bazarnes,bazarnes,47.662782028985,3.6484556521739
34594,89,89031,89250,Beaumont,beaumont,47.917674867257,3.5540454867257
34595,89,89032,89630,Beauvilliers,beauvilliers,47.41195448,4.03727496
34596,89,89033,89240,Beauvoir,beauvoir,47.79213238806,3.3803544776119
34597,89,89034,89800,Beine,beine,47.823205409836,3.7255926229508
34598,89,89035,89210,Bellechaume,bellechaume,48.051151123596,3.5866249438202
34599,89,89036,89150,La Belliole,la belliole,48.145663804348,3.087702173913
34600,89,89037,89410,Béon,beon,47.948330775862,3.3091628448276
34601,89,89038,89360,Bernouil,bernouil,47.91063296875,3.892960625
34602,89,89039,89700,Béru,beru,47.804216923077,3.8886593846154
34603,89,89040,89270,Bessy-sur-Cure,bessy sur cure,47.624739259259,3.7295737037037
34604,89,89041,89570,Beugnon,beugnon,48.01688416,3.79391864
34605,89,89042,89420,Bierry-les-Belles-Fontaines,bierry les belles fontaines,47.61249300813,4.1801141463415
34606,89,89043,89440,Blacy,blacy,47.577382022472,4.0357691011236
34607,89,89044,89200,Blannay,blannay,47.532866296296,3.7650648148148
34608,89,89045,89230,Bleigny-le-Carreau,bleigny le carreau,47.831315178571,3.6765902678571
34609,89,89046,89220,Bléneau,bleneau,47.709115,2.9511665853658
34610,89,89048,89770,Bœurs-en-Othe,boeurs en othe,48.141885840708,3.7050288495575
34611,89,89049,89660,Bois-d'Arcy,bois d arcy,47.552120877193,3.7229803508772
34612,89,89050,89400,Bonnard,bonnard,47.927065,3.5355225
34613,89,89051,89500,Les Bordes,les bordes,48.105711944444,3.3837743518519
34614,89,89053,89113,Branches,branches,47.877690561798,3.4789748314607
34615,89,89054,89150,Brannay,brannay,48.234144666667,3.1264357777778
34616,89,89055,89210,Brienon-sur-Armançon,brienon sur armancon,47.99524248366,3.6219854901961
34617,89,89056,89400,Brion,brion,48.004725294118,3.4776232352941
34618,89,89057,89660,Brosses,brosses,47.529186956522,3.6879997101449
34619,89,89058,89630,Bussières,bussieres,47.426813874346,4.0487336649215
34620,89,89059,89400,Bussy-en-Othe,bussy en othe,48.041251359649,3.5052032894737
34621,89,89060,89500,Bussy-le-Repos,bussy le repos,48.053292116788,3.2162074452555
34622,89,89061,89360,Butteaux,butteaux,47.988315438596,3.8267129824561
34623,89,89062,89360,Carisey,carisey,47.922991444444,3.8446164444444
34624,89,89063,89116,La Celle-Saint-Cyr,la celle saint cyr,47.9792105,3.2785514166667
34625,89,89064,89310,Censy,censy,47.699588529412,4.0441602941176
34626,89,89065,89320,Cérilly,cerilly,48.174079516129,3.625175483871
34627,89,89066,89320,Cerisiers,cerisiers,48.119494494382,3.5027750561798
34628,89,89067,89410,Cézy,cezy,47.997154724409,3.321102519685
34629,89,89068,89800,Chablis,chablis,47.81355305,3.79541465
34630,89,89069,89770,Chailley,chailley,48.086935333333,3.6967394
34631,89,89071,89660,Chamoux,chamoux,47.456717391304,3.6620384057971
34632,89,89072,89220,Champcevrais,champcevrais,47.751048662791,2.9726948255814
34633,89,89073,89350,Champignelles,champignelles,47.775822170818,3.0870506761566
34634,89,89074,89340,Champigny,champigny,48.311615818182,3.1356359090909
34635,89,89075,89300,Champlay,champlay,47.941320073529,3.4281129411765
34636,89,89076,89210,Champlost,champlost,48.03327810219,3.6610754744525
34637,89,89077,89290,Champs-sur-Yonne,champs sur yonne,47.749399130435,3.6018447826087
34638,89,89079,89300,Chamvres,chamvres,47.95672,3.3573302816901
34639,89,89080,89260,La Chapelle-sur-Oreuse,la chapelle sur oreuse,48.2977269,3.3031752
34640,89,89081,89800,La Chapelle-Vaupelteigne,la chapelle vaupelteigne,47.843613068182,3.7703670454546
34641,89,89083,89113,Charbuy,charbuy,47.823825775862,3.4638821551724
34642,89,89084,89580,Charentenay,charentenay,47.645357722772,3.5543995049505
34643,89,89085,89400,Charmoy,charmoy,47.944203793103,3.4972401724138
34644,89,89086,89120,Charny Orée de Puisaye,charny oree de puisaye,47.883446,3.0964839
34645,89,89086,89350,Charny Orée de Puisaye,charny oree de puisaye,47.883446,3.0964839
34646,89,89087,89160,Chassignelles,chassignelles,47.768949883041,4.1954120467836
34647,89,89088,89110,Chassy,chassy,47.852148598131,3.3132531775701
34648,89,89089,89630,Chastellux-sur-Cure,chastellux sur cure,47.389493900709,3.8844069503546
34649,89,89091,89660,Châtel-Censoir,chatel censoir,47.527403653846,3.6318091666667
34650,89,89092,89310,Châtel-Gérard,chatel gerard,47.630429659091,4.1009173295455
34651,89,89093,89340,Chaumont,chaumont,48.310512575758,3.1024768181818
34652,89,89094,89500,Chaumot,chaumot,48.086133097345,3.2015662831858
34653,89,89095,89800,Chemilly-sur-Serein,chemilly sur serein,47.768379140625,3.85859046875
34654,89,89096,89250,Chemilly-sur-Yonne,chemilly sur yonne,47.899784897959,3.5515044897959
