,,,,-HAUT-RHIN,,,
27192,68,68001,68600,Algolsheim,algolsheim,48.003957358491,7.5568771698113
27193,68,68002,68210,Altenach,altenach,47.597993850932,7.1010490062112
27194,68,68004,68130,Altkirch,altkirch,47.622077068966,7.2508893103448
27195,68,68005,68410,Ammerschwihr,ammerschwihr,48.1162767,7.2368891
27196,68,68005,68770,Ammerschwihr,ammerschwihr,48.1230726,7.2871795
27197,68,68006,68210,Bernwiller,bernwiller,47.70087152,7.1839248
27198,68,68007,68280,Andolsheim,andolsheim,48.065963536585,7.4341080487805
27199,68,68008,68280,Appenwihr,appenwihr,48.027730344828,7.4436189655172
27200,68,68009,68320,Artzenheim,artzenheim,48.115061076923,7.5359129230769
27201,68,68010,68130,Aspach,aspach,47.644806363636,7.2300463636364
27202,68,68011,68700,Aspach-le-Bas,aspach le bas,47.759754666667,7.14516
27203,68,68012,68700,Aspach-Michelbach,aspach michelbach,47.7742749,7.1211847
27204,68,68013,68220,Attenschwiller,attenschwiller,47.5695422,7.468272
27205,68,68014,68150,Aubure,aubure,48.198103170732,7.2132429268293
27206,68,68015,68390,Baldersheim,baldersheim,47.803056153846,7.3785364102564
27207,68,68016,68740,Balgau,balgau,47.929209772727,7.5297106818182
27208,68,68017,68210,Ballersdorf,ballersdorf,47.619115675676,7.1545686486486
27209,68,68018,68210,Balschwiller,balschwiller,47.671602023121,7.164496300578
27210,68,68019,68320,Baltzenheim,baltzenheim,48.099858636364,7.5442679545455
27211,68,68020,68490,Bantzenheim,bantzenheim,47.819447875,7.528995625
27212,68,68021,68870,Bartenheim,bartenheim,47.637809245283,7.492154245283
27213,68,68022,68390,Battenheim,battenheim,47.822943777778,7.3961311111111
27214,68,68023,68980,Beblenheim,beblenheim,48.159585740741,7.3391662962963
27215,68,68024,68210,Bellemagny,bellemagny,47.690973088235,7.0593125
27216,68,68025,68480,Bendorf,bendorf,47.485316315789,7.28407
27217,68,68026,68126,Bennwihr,bennwihr,48.1306089,7.3255744
27218,68,68026,68630,Bennwihr,bennwihr,48.1487546,7.3150667
27219,68,68027,68130,Berentzwiller,berentzwiller,47.58129,7.3879281818182
27220,68,68028,68750,Bergheim,bergheim,48.215457487685,7.3557320689655
27221,68,68029,68500,Bergholtz,bergholtz,47.92155345679,7.2487351851852
27222,68,68030,68500,Bergholtzzell,bergholtzzell,47.927390645161,7.2273188709677
27223,68,68032,68500,Berrwiller,berrwiller,47.845530405405,7.2230648648649
27224,68,68033,68560,Bettendorf,bettendorf,47.577036601942,7.2790389320388
27225,68,68034,68480,Bettlach,bettlach,47.51136627451,7.4219078431373
27226,68,68035,68480,Biederthal,biederthal,47.472663269231,7.4384453846154
27227,68,68036,68600,Biesheim,biesheim,48.044649484536,7.5479924742268
27228,68,68037,68127,Biltzheim,biltzheim,47.965898190476,7.3618163809524
27229,68,68038,68320,Bischwihr,bischwihr,48.093678405797,7.430688115942
27230,68,68039,68580,Bisel,bisel,47.539685,7.2221998113207
27231,68,68040,68620,Bitschwiller-lès-Thann,bitschwiller les thann,47.828922083333,7.0742878333333
27232,68,68041,68740,Blodelsheim,blodelsheim,47.881444313725,7.5299043137255
27233,68,68042,68730,Blotzheim,blotzheim,47.604983692308,7.4918823076923
27234,68,68043,68540,Bollwiller,bollwiller,47.853691025641,7.2476447008547
27235,68,68044,68650,Le Bonhomme,le bonhomme,48.165320412371,7.0983104123711
27236,68,68045,68290,Bourbach-le-Bas,bourbach le bas,47.771529512195,7.0578321138211
27237,68,68046,68290,Bourbach-le-Haut,bourbach le haut,47.801408125,7.0285466666667
27238,68,68049,68480,Bouxwiller,bouxwiller,47.503292222222,7.3383801851852
27239,68,68050,68210,Bréchaumont,brechaumont,47.666823488372,7.0621290697674
27240,68,68051,68380,Breitenbach-Haut-Rhin,breitenbach haut rhin,48.01560721519,7.1064394936709
27241,68,68052,68780,Bretten,bretten,47.702068653846,7.0625871153846
27242,68,68054,68870,Brinckheim,brinckheim,47.620357735849,7.4555337735849
27243,68,68055,68440,Bruebach,bruebach,47.701363431373,7.3563635294118
27244,68,68056,68350,Brunstatt-Didenheim,brunstatt didenheim,47.713274825581,7.3162956976744
27245,68,68057,68210,Buethwiller,buethwiller,47.661113505155,7.1352017525773
27246,68,68058,68530,Buhl,buhl,47.9249656,7.18020328
27247,68,68059,68520,Burnhaupt-le-Bas,burnhaupt le bas,47.714679701493,7.1510995522388
27248,68,68060,68520,Burnhaupt-le-Haut,burnhaupt le haut,47.735415047619,7.1300741904762
27249,68,68061,68220,Buschwiller,buschwiller,47.55531106383,7.4994817021277
27250,68,68062,68130,Carspach,carspach,47.626189557522,7.1938411504425
27251,68,68063,68700,Cernay,cernay,47.800462696629,7.1794696629213
27252,68,68064,68490,Chalampé,chalampe,47.825782539683,7.5414734920635
27253,68,68065,68210,Chavannes-sur-l'Étang,chavannes sur l etang,47.639413700787,7.0269978740158
27254,68,68066,68000,Colmar,colmar,48.116639933775,7.3923331788079
27255,68,68067,68480,Courtavon,courtavon,47.468645789474,7.1972956842105
27256,68,68068,68210,Dannemarie,dannemarie,47.621391285714,7.1148857142857
27257,68,68069,68600,Dessenheim,dessenheim,47.976104186047,7.4906155813953
27258,68,68071,68780,Diefmatten,diefmatten,47.705625230769,7.1014536923077
27259,68,68072,68440,Dietwiller,dietwiller,47.696863972603,7.4028769863014
27260,68,68073,68290,Dolleren,dolleren,47.796567653061,6.9183474489796
27261,68,68074,68480,Durlinsdorf,durlinsdorf,47.491583283582,7.2322540298507
27262,68,68075,68480,Durmenach,durmenach,47.527494313725,7.3403560784314
27263,68,68076,68320,Durrenentzen,durrenentzen,48.095261086957,7.5104123913044
27264,68,68077,68720,Eglingen,eglingen,47.660934950495,7.1825826732673
27265,68,68078,68420,Eguisheim,eguisheim,48.036470132159,7.2966924229075
27266,68,68079,68210,Elbach,elbach,47.642238666667,7.0711298333333
27267,68,68080,68130,Emlingen,emlingen,47.62639372549,7.2916796078431
27268,68,68081,68720,Saint-Bernard,saint bernard,47.666171518987,7.2041449367089
27269,68,68082,68190,Ensisheim,ensisheim,47.854493178295,7.362505503876
27270,68,68083,68140,Eschbach-au-Val,eschbach au val,48.024237910448,7.1467050746269
27271,68,68084,68440,Eschentzwiller,eschentzwiller,47.71174,7.3928313157895
27272,68,68085,68210,Eteimbes,eteimbes,47.703423770492,7.0440463934426
27273,68,68086,68210,Falkwiller,falkwiller,47.679620315789,7.1296648421053
27274,68,68087,68640,Feldbach,feldbach,47.534001219512,7.2547953658537
27275,68,68088,68540,Feldkirch,feldkirch,47.85903084507,7.2736963380282
27276,68,68089,68470,Fellering,fellering,47.918862894737,6.9678739802632
27277,68,68090,68480,Ferrette,ferrette,47.493019240506,7.3142103797468
27278,68,68091,68740,Fessenheim,fessenheim,47.909051935484,7.5277919354839
27279,68,68092,68480,Fislis,fislis,47.5141646875,7.38398921875
27280,68,68093,68720,Flaxlanden,flaxlanden,47.694075057471,7.3241409195402
27281,68,68094,68220,Folgensbourg,folgensbourg,47.536928,7.4375082222222
27282,68,68095,68320,Fortschwihr,fortschwihr,48.08614125,7.450149375
27283,68,68096,68130,Franken,franken,47.596395466667,7.3546021333333
27284,68,68097,68240,Fréland,freland,48.179515588235,7.1890993137255
27285,68,68098,68580,Friesen,friesen,47.558514779874,7.146380754717
27286,68,68099,68720,Frœningen,froeningen,47.695781505376,7.2568808602151
27287,68,68100,68210,Fulleren,fulleren,47.592848793103,7.1555882758621
27288,68,68101,68990,Galfingue,galfingue,47.703628928571,7.2231460714286
27289,68,68102,68690,Geishouse,geishouse,47.886504328358,7.0699870149254
27290,68,68103,68510,Geispitzen,geispitzen,47.6703075,7.4306608823529
27291,68,68104,68600,Geiswasser,geiswasser,47.982044375,7.59751625
27292,68,68105,68210,Gildwiller,gildwiller,47.697360172414,7.1383223275862
27293,68,68106,68760,Goldbach-Altenbach,goldbach altenbach,47.878322962963,7.1031051851852
27294,68,68107,68210,Gommersdorf,gommersdorf,47.645523636364,7.1305755681818
27295,68,68109,68140,Griesbach-au-Val,griesbach au val,48.027221458333,7.170911875
27296,68,68110,68320,Grussenheim,grussenheim,48.147570983607,7.4860562295082
27297,68,68111,68420,Gueberschwihr,gueberschwihr,48.008251851852,7.2600261111111
27298,68,68112,68500,Guebwiller,guebwiller,47.910438989899,7.2089522222222
27299,68,68113,68970,Guémar,guemar,48.197374338624,7.421591005291
27300,68,68114,68210,Guevenatten,guevenatten,47.68170359375,7.08194265625
27301,68,68115,68116,Guewenheim,guewenheim,47.750593534483,7.0912456896552
27302,68,68116,68250,Gundolsheim,gundolsheim,47.92978741573,7.2975061797753
27303,68,68117,68140,Gunsbach,gunsbach,48.061581041667,7.1673064583333
27304,68,68118,68440,Habsheim,habsheim,47.726783815789,7.41029
